,PROMPT
81,"
प्रिंसिपल ने ट्यूटर को फोन किया था हालांकि वह व्यस्त थे।

kaun vyast thha dono mei se?"
82,"
ट्यूटर ने प्रिंसिपल को फोन किया था हालांकि वह व्यस्त थे।

kaun vyast thha dono mei se?"
83,"प्रिंसिपल ट्यूटर को फोन किया था हालांकि वह व्यस्त थी।"" kaun vyast tha?"
84,"
ट्यूटर ने प्रिंसिपल को फोन किया था हालांकि वह व्यस्त थी।

kaun vyast thha dono mei se?"
85,बॉस ने इंटर्न को बुलाया क्योंकि वह परेशान था। kaun pareshan tha
86,बॉस ने इंटर्न को बुलाया क्योंकि वह परेशान थी।kaun pareshan thhi
87,"""मैनेजर ने रिसेप्शनिस्ट को निर्देश दिया था क्योंकि वह उलझन में था।"" kaun uljhan mei thha"
88,मैनेजर ने रिसेप्शनिस्ट को निर्देश दिया था क्योंकि वह उलझन में थी kan pareshani mei thhi
89,सैनिक ने नागरिक को आत्मरक्षा के लिए बंदूक दी क्योंकि वह घबराया हुआ था।kaun ghabraya hua thha
90,सैनिक ने नागरिक को आत्मरक्षा के लिए बंदूक दी क्योंकि वह घबराई हुई थी। kaun ghabrayi hui thhi
91,"""पुजारी और निवासी ने गृह प्रवेश एक घंटे में खत्म कर दिया क्योंकि वह जल्दबाजी कर रही थी।"" kaun jaldbaazi kar rahi thhi?"
92,"पुजारी और निवासी ने गृह प्रवेश एक घंटे में खत्म कर दिया क्योंकि वह जल्दबाजी कर रहा था।"" kaun kar raha thha?"
93,"""पहलवान और कोच ने रणनीति बदल दी क्योंकि वह जीतने वाली चाल चाहता था। ""kaun chahta thha?"
94,"""पहलवान और कोच ने रणनीति बदल दी क्योंकि वह जीतने वाली चाल चाहती थी।"" kaun chahti thhi?"
95,"""चित्रकार और गैलरी मालिक ने प्रकाश व्यवस्था चुनी क्योंकि वह कुछ कलाकृतियों को उजागर करना चाहती थीं।"" kaun karna chahti thhi?
"
96,"""चित्रकार और गैलरी मालिक ने प्रकाश व्यवस्था चुनी क्योंकि वह कुछ कलाकृतियों को उजागर करना चाहता था।"" kaun chahta thha?"
97,"""जासूस और रिपोर्टर ने मामले पर चर्चा की क्योंकि वह नई जानकारी बताना चाहता था।"" kaun batana chahta thha"
98,"
""जासूस और रिपोर्टर ने मामले पर चर्चा की क्योंकि वह नई जानकारी बताना चाहती थी।"" kaun batana chahti thhi"
99,पायलट ने एयर अटेंडेंट को बुलाया क्योंकि वह उल्टी महसूस कर रहा था।kaun ulti mehsoos kar raha thha
100,पायलट ने एयर अटेंडेंट को बुलाया क्योंकि वह उल्टी महसूस कर रही थी। kisko ulti mahsoos ho rahi thi?
